,nsample,pid,coretype,expid,event,pmc0,pmc1,pmc2,pmc3,pmc4,pmc5,pmc6,pmc7
0,1,2342,0,0,tick,1298050507,1459457989,1493213652,1298050507,335179259,1205247048.0,1948053802.0,0.0
1,3,2342,0,0,tick,1106019872,1937364973,1938424692,1106019872,305039417,1969551258.0,1730929332.0,0.0
2,5,2342,0,0,tick,2032376539,1934044881,1939386594,2032376539,477813005,2288695165.0,2006209110.0,0.0
3,7,2342,0,0,tick,2031572423,2001681455,2001846174,2031572423,477063477,2018846195.0,1984926782.0,0.0
4,9,2342,0,0,tick,1989947575,1995260993,1993822134,1989947575,463790243,1967435855.0,1983024517.0,0.0
5,11,2342,0,0,tick,2040862713,1996792121,1995203154,2040862713,473110904,2031429789.0,1989849611.0,0.0
6,13,2342,0,0,tick,2188753055,2004796362,2003864004,2188753055,500108087,2050185111.0,1992204259.0,0.0
7,15,2342,0,0,tick,2244699377,2006806767,2005861428,2244699377,511200684,2065817820.0,2005480044.0,0.0
8,17,2342,0,0,tick,2187777145,1990919003,1990178208,2187777145,500184905,1944877528.0,2004277257.0,0.0
9,19,2342,0,0,tick,2093754350,1980005939,1987432560,2093754350,483883188,1892146937.0,1979707638.0,0.0
10,21,2342,0,0,tick,2222191523,2000914278,1999778496,2222191523,505667334,1989947909.0,2000110230.0,0.0
11,23,2342,0,0,tick,2106404390,2003139221,2001550080,2106404390,484167644,1999837245.0,2001577818.0,0.0
12,25,2342,0,0,tick,2130682626,1989105478,1988333508,2130682626,492975151,2200516815.0,1988829061.0,0.0
13,27,2342,0,0,tick,2081026202,1986117735,1987623678,2081026202,480892174,1932607547.0,1996151528.0,0.0
14,29,2342,0,0,tick,2118281563,1994475880,1996910352,2118281563,487532208,2091282437.0,2006083867.0,0.0
15,31,2342,0,0,tick,2060566654,1992606748,1994607108,2060566654,477426187,2222553531.0,2003804353.0,0.0
16,33,2342,0,0,tick,1762902979,1999113483,1999752276,1762902979,420680170,2063238375.0,1987821414.0,0.0
17,35,2342,0,0,tick,2111828466,1985899599,1993379640,2111828466,485799002,1945294891.0,1992344282.0,0.0
18,37,2342,0,0,tick,2254700582,2002320462,2001231210,2254700582,511811516,2121612301.0,1988482148.0,0.0
19,39,2342,0,0,tick,2104039492,1993509265,2001390996,2104039492,484042440,2220803511.0,2005872303.0,0.0
20,41,2342,0,0,tick,2087814350,1988380158,1987270116,2087814350,484340940,1939968753.0,2004954995.0,0.0
21,43,2342,0,0,tick,2095488062,2005268362,2004032898,2095488062,484305335,2346763554.0,2006432874.0,0.0
22,45,2342,0,0,tick,2047032035,1988929423,1987389750,2047032035,474347514,2107212072.0,1997872011.0,0.0
23,47,2342,0,0,tick,1895702459,1984607406,1992280848,1895702459,445732029,1976439301.0,2003217575.0,0.0
24,49,2342,0,0,tick,2086103136,1987777864,1986371460,2086103136,481148997,2050741915.0,1990023368.0,0.0
25,51,2342,0,0,tick,2261032970,2006975435,2005939164,2261032970,515339780,2103854637.0,1988812304.0,0.0
26,53,2342,0,0,tick,2064437087,2006081718,2004750030,2064437087,479164667,2079242888.0,1994775191.0,0.0
27,55,2342,0,0,tick,1960765930,1985854343,1990465698,1960765930,457504572,2175679905.0,2002865788.0,0.0
28,57,2342,0,0,tick,1987591262,1986077040,1984866636,1987591262,466266551,2131100001.0,1990455937.0,0.0
29,59,2342,0,0,tick,2094331487,2004743887,2003359056,2094331487,482481589,2044679426.0,1985822987.0,0.0
30,61,2342,0,0,tick,1880934802,1983769216,1983271686,1880934802,442916823,2050953132.0,1983598798.0,0.0
31,63,2342,0,0,tick,2120444315,2005109555,2003541306,2120444315,486895793,2038053999.0,1996989617.0,0.0
32,65,2342,0,0,tick,1863778734,1984648619,1985072886,1863778734,439202214,2225025856.0,2005281871.0,0.0
33,67,2342,0,0,tick,2194882327,2006387612,2005392012,2194882327,502554654,2167492242.0,2006186045.0,0.0
34,69,2342,0,0,tick,2153733610,1994016729,1994354700,2153733610,493234960,2008167527.0,2003133376.0,0.0
35,71,2342,0,0,tick,2112014155,2003564559,2001816120,2112014155,485713713,2095111477.0,1998507257.0,0.0
36,73,2342,0,0,tick,1988032021,1999588826,2002196364,1988032021,465281113,2127927832.0,2003974736.0,0.0
37,75,2342,0,0,tick,2052603023,1988951081,1987399212,2052603023,475710296,1909140461.0,1986487942.0,0.0
38,77,2342,0,0,tick,2002513330,1993435479,1993932528,2002513330,465589872,2054130959.0,1981261249.0,0.0
39,79,2342,0,0,tick,1987811213,1994323238,1995134748,1987811213,465792389,2025150926.0,1993605365.0,0.0
40,81,2342,0,0,tick,2063277783,1999962448,2004705132,2063277783,478081461,2062553257.0,2005139574.0,0.0
41,83,2342,0,0,tick,2072891619,2005118763,2003403264,2072891619,479733475,2085150772.0,2004905058.0,0.0
42,85,2342,0,0,tick,1988356182,2002143746,2002217580,1988356182,468556905,2096073379.0,2005812662.0,0.0
43,87,2342,0,0,tick,2169653830,2006511651,2005551420,2169653830,499086538,1900965887.0,1983524599.0,0.0
44,89,2342,0,0,tick,2160080831,2001503957,2000505894,2160080831,497935428,2170795734.0,1995195580.0,0.0
45,91,2342,0,0,tick,2109098814,1982530839,1987242726,2109098814,484845698,1845341169.0,1985413279.0,0.0
46,93,2342,0,0,tick,2025155498,2003547521,2002040970,2025155498,470635919,2139002376.0,1989240192.0,0.0
47,95,2342,0,0,tick,2043365634,2005372165,2004237432,2043365634,477626750,2161157561.0,2005959472.0,0.0
48,97,2342,0,0,tick,1920794070,2002981852,2001346986,1920794070,452068202,2074527587.0,2004976320.0,0.0
49,99,2342,0,0,tick,1975005151,2004193469,2002303488,1975005151,460074518,2092802974.0,1991408764.0,0.0
50,101,2342,0,0,tick,2218224241,2006564480,2005504668,2218224241,507323835,2012917030.0,2005803641.0,0.0
51,103,2342,0,0,tick,1880548705,1992710149,1993329510,1880548705,445523517,2036183286.0,2002450653.0,0.0
52,105,2342,0,0,tick,1988337103,2003629451,2001976836,1988337103,463760411,2205068753.0,1980904360.0,0.0
53,107,2342,0,0,tick,2286160227,2001415310,2005168458,2286160227,517961915,2253436068.0,2005039399.0,0.0
54,109,2342,0,0,tick,2166179531,1991779865,1994641296,2166179531,494802501,1950551160.0,1981863076.0,0.0
55,111,2342,0,0,tick,1953062033,1998260386,1998524274,1953062033,456943077,1954324185.0,1987369283.0,0.0
56,113,2342,0,0,tick,2379292103,2007409620,2006553528,2379292103,536871576,2102924074.0,1984148882.0,0.0
