nsample pid coretype expid event pmc0 pmc1 pmc2 pmc3 pmc4
1 2395 0 0 tick 1290256026 1843364017 1853701278 1290256026 379083945
2 2395 0 1 tick 1221057923 1952039376 - 0 -
3 2395 0 0 tick 1229046525 1972775910 1973123430 1229046525 360118690
4 2395 0 1 tick 1424916415 1989581154 - 0 -
5 2395 0 0 tick 1683769747 2009276897 2009200632 1683769747 453009291
6 2395 0 1 tick 1652493941 1985344887 - 0 -
7 2395 0 0 tick 1679154574 2009324009 2009462712 1679154574 452236580
8 2395 0 1 tick 1681609792 2009406900 - 0 -
9 2395 0 0 tick 1680303889 2009574114 2009548410 1680303889 452527623
10 2395 0 1 tick 1661335197 1993961282 - 0 -
11 2395 0 0 tick 1674956213 2009088187 2009127156 1674956213 451095682
12 2395 0 1 tick 1682070730 2009301267 - 0 -
13 2395 0 0 tick 1677675044 2009149599 2008940946 1677675044 451719810
14 2395 0 1 tick 1678621370 2009619558 - 0 -
15 2395 0 0 tick 1673577426 2007001420 2006763138 1673577426 450873180
16 2395 0 1 tick 1682417767 2010143572 - 0 -
17 2395 0 0 tick 1675672113 2008037425 2008145628 1675672113 451410046
18 2395 0 1 tick 1679647439 2007411930 - 0 -
19 2395 0 0 tick 1668945227 1997762495 1999033056 1668945227 449418588
20 2395 0 1 tick 1678179922 2008049290 - 0 -
21 2395 0 0 tick 1672565032 2006582499 2006569548 1672565032 450548591
22 2395 0 1 tick 1676713905 2007717271 - 0 -
23 2395 0 0 tick 1679309443 2007618708 2007736566 1679309443 452048293
24 2395 0 1 tick 1673452375 1998343155 - 0 -
25 2395 0 0 tick 1656163520 1983707069 1991713050 1656163520 446108250
26 2395 0 1 tick 1674817633 2007044714 - 0 -
27 2395 0 0 tick 1673646899 2007711972 2007763950 1673646899 450880308
28 2395 0 1 tick 1683113641 2008124109 - 0 -
29 2395 0 0 tick 1665398127 1996736211 1996767474 1665398127 448643326
30 2395 0 1 tick 1668036093 1993551883 - 0 -
31 2395 0 0 tick 1674824555 2006559572 2006572452 1674824555 450741740
32 2395 0 1 tick 1678254510 2007990346 - 0 -
33 2395 0 0 tick 1661575640 1983702074 1991393070 1661575640 447162399
34 2395 0 1 tick 1657083318 1991914288 - 0 -
35 2395 0 0 tick 1676649909 2007629249 2007588204 1676649909 451385065
36 2395 0 1 tick 1678245926 2006803716 - 0 -
37 2395 0 0 tick 1678180844 2007562184 2007755784 1678180844 451800902
38 2395 0 1 tick 1675981915 2007033835 - 0 -
39 2395 0 0 tick 1673916066 2007134633 2007265392 1673916066 451058536
40 2395 0 1 tick 1678549530 2008087230 - 0 -
41 2395 0 0 tick 1672284663 2007819997 2007730464 1672284663 450860156
42 2395 0 1 tick 1673415117 2006668089 - 0 -
43 2395 0 0 tick 1675491728 2007829463 2007501546 1675491728 451246089
44 2395 0 1 tick 1662590903 1984096356 - 0 -
45 2395 0 0 tick 1679748447 2007214217 2007110754 1679748447 452144759
46 2395 0 1 tick 1655949605 1987772805 - 0 -
47 2395 0 0 tick 1680496269 2007785822 2007621012 1680496269 452540145
48 2395 0 1 tick 1680317573 2007622612 - 0 -
49 2395 0 0 tick 1680476950 2006574982 2006404614 1680476950 452224861
50 2395 0 1 tick 1670707296 2006613401 - 0 -
51 2395 0 0 tick 1674787342 2006856719 2007138672 1674787342 450875203
52 2395 0 1 tick 1680209644 2007378022 - 0 -
53 2395 0 0 tick 1679742111 2007173735 2007220914 1679742111 452074046
54 2395 0 1 tick 1672025811 2006942795 - 0 -
55 2395 0 0 tick 1663875430 1991593091 1991497938 1663875430 448111514
56 2395 0 1 tick 1676403292 2008131605 - 0 -
57 2395 0 0 tick 1862494977 1960557146 1960672656 1862494977 532116516
58 2395 0 1 tick 2014124335 2004508315 - 0 -
59 2395 0 0 tick 1857048121 2008992274 2009193894 1857048121 515235274
60 2395 0 1 tick 1860354115 2009607283 - 0 -
61 2395 0 0 tick 1859051329 2009625381 2009498418 1859051329 515543501
62 2395 0 1 tick 1861961719 2010034686 - 0 -
63 2395 0 0 tick 1853041731 2008304226 2008268736 1853041731 514255916
64 2395 0 1 tick 1853143934 2009177298 - 0 -
65 2395 0 0 tick 1862448819 2009210803 2009258754 1862448819 516230072
66 2395 0 1 tick 1835414294 1988875467 - 0 -
67 2395 0 0 tick 1857984965 2009596621 2009521560 1857984965 515416635
