,nsample,pid,coretype,expid,event,pmc0,pmc1,pmc2,pmc3,pmc4,pmc5,pmc6,pmc7
0,1,11694,0,0,tick,766823136,1442642793,1451089734,766823136,85371226,774499896,1936054444,0
1,3,11694,0,0,tick,1285305741,1852362917,1861321458,1285305741,84800648,964005652,1987493315,0
2,5,11694,0,0,tick,1110072020,1938345179,1940587782,1110072020,56237478,2273494478,2003764286,0
3,7,11694,0,0,tick,2966674776,2010919320,2010932016,2966674776,427308070,2836050485,2010206114,0
4,9,11694,0,0,tick,2840443343,2009719596,2009752902,2840443343,407664086,2957259491,2010326388,0
5,11,11694,0,0,tick,2190047913,2006733885,2006740968,2190047913,286659954,941222381,1972291709,0
6,13,11694,0,0,tick,1914771459,1986487650,1986473160,1914771459,199372538,2928730519,2010125007,0
7,15,11694,0,0,tick,2810057648,2009334391,2009398248,2810057648,407140575,2831681553,2010276386,0
8,17,11694,0,0,tick,2937314929,2010854872,2010850656,2937314929,426991056,894665812,1971818286,0
9,19,11694,0,0,tick,1370184977,1975461176,1975416804,1370184977,76318835,2334421738,2005811953,0
10,21,11694,0,0,tick,2990604147,2010831753,2010840042,2990604147,432507769,2876600604,2010395989,0
11,23,11694,0,0,tick,2981308992,2010880596,2010886218,2981308992,431680700,2983032654,2011065919,0
12,25,11694,0,0,tick,2887318151,2010230362,2010245850,2887318151,415748004,2982761113,2010275325,0
13,27,11694,0,0,tick,2898935262,2005877196,2009913042,2898935262,417597344,744347777,1998494445,0
14,29,11694,0,0,tick,1430277260,1975773878,1975737000,1430277260,81927305,2499923220,2006778169,0
15,31,11694,0,0,tick,2989734353,2010717923,2010720450,2989734353,435608067,2987078290,2010743727,0
16,33,11694,0,0,tick,2932819773,2010288530,2010294540,2932819773,420229742,2986537986,2011079034,0
17,35,11694,0,0,tick,2985849852,2010910909,2010939600,2985849852,434800408,2935215916,2010443744,0
18,37,11694,0,0,tick,2998579203,2010969771,2010950772,2998579203,435323399,2985058818,2010980334,0
19,39,11694,0,0,tick,2556354933,2008751736,2008769670,2556354933,352675116,746093154,1984693307,0
20,41,11694,0,0,tick,1517450851,1988511410,1988438370,1517450851,84813889,2655438727,2006949391,0
21,43,11694,0,0,tick,3033994313,2010865743,2010861672,3033994313,437092345,3043857169,2011012984,0
22,45,11694,0,0,tick,2999308123,2010768174,2010779250,2999308123,433338184,2835068099,1986324049,0
23,47,11694,0,0,tick,3037679126,2010350841,2010335748,3037679126,437624072,3019936932,1995007308,0
24,49,11694,0,0,tick,2993169025,2010593939,2010599052,2993169025,432397081,2856788245,2009317170,0
25,51,11694,0,0,tick,2997914408,2010108790,2010104376,2997914408,432009090,3041717746,2011161818,0
26,53,11694,0,0,tick,3002305263,2010780853,2010793374,3002305263,433484935,1266419059,2003733248,0
27,55,11694,0,0,tick,1175277431,1956617012,1956526146,1175277431,66623252,1560387915,2001095244,0
28,57,11694,0,0,tick,2982950183,2010835884,2010836268,2982950183,431513476,3006550719,2011066985,0
29,59,11694,0,0,tick,3006714975,2010722926,2010716010,3006714975,434002301,2974140526,2011024058,0
30,61,11694,0,0,tick,2924815980,2010383776,2010412380,2924815980,420375498,2984315063,2011007761,0
31,63,11694,0,0,tick,3002319165,2010966486,2010980820,3002319165,432708976,2962088506,2010272898,0
32,65,11694,0,0,tick,2917086527,2009571562,2009605242,2917086527,419706618,2975117537,2010505433,0
33,67,11694,0,0,tick,3002761175,2010794433,2010795012,3002761175,433080622,2993013645,2011030966,0
34,69,11694,0,0,tick,2743069027,2009752491,2009768466,2743069027,388033081,720654771,1998299657,0
35,71,11694,0,0,tick,1438863947,1975412083,1975385886,1438863947,83088715,2103354059,1987106580,0
36,73,11694,0,0,tick,2982702376,2009923169,2009949546,2982702376,432374872,2965876415,1994685675,0
37,75,11694,0,0,tick,2991672765,2010949877,2010868644,2991672765,432879381,2991418611,2011047220,0
38,77,11694,0,0,tick,2985637848,2010197324,2010222492,2985637848,431084314,2951482686,2010192657,0
39,79,11694,0,0,tick,2980537341,2010484797,2010479382,2980537341,431660653,2975147780,2002525535,0
40,81,11694,0,0,tick,2984102339,2010679630,2010679548,2984102339,431718878,2982882226,2011108339,0
41,83,11694,0,0,tick,2923301291,1991589015,1994300754,2923301291,418387313,2990055043,2011028777,0
42,85,11694,0,0,tick,2958453421,1986388265,1994383896,2958453421,428100143,2997415445,2010380098,0
43,87,11694,0,0,tick,2989839400,2010244744,2010283032,2989839400,432681816,3003984444,2010847790,0
44,89,11694,0,0,tick,869188620,1997526079,1997500440,869188620,50793476,1285306058,1975884455,0
45,91,11694,0,0,tick,1878098691,2002283155,2002289286,1878098691,180874090,2972529077,1994872175,0
46,93,11694,0,0,tick,3016064633,2010872630,2010882762,3016064633,436765109,2991389248,2011090703,0
47,95,11694,0,0,tick,3010450066,2010766024,2010764472,3010450066,436763513,2997916319,2011072495,0
48,97,11694,0,0,tick,2976690226,2010697311,2010718728,2976690226,427192708,3010154525,2010929835,0
49,99,11694,0,0,tick,2957515517,1994235440,1994252742,2957515517,430274264,2977889963,2010542693,0
50,101,11694,0,0,tick,2975705848,1994474834,1994472618,2975705848,431036302,2972286573,2010974411,0
51,103,11694,0,0,tick,2990849869,2010813926,2010825720,2990849869,432328421,3000601948,2011029455,0
52,105,11694,0,0,tick,2964351567,2010305433,2010324810,2964351567,432589124,2978076037,2010459109,0
53,107,11694,0,0,tick,2982351755,2002730317,2002730754,2982351755,432428536,1845119990,2006248741,0
54,109,11694,0,0,tick,947952182,1971985500,1972038636,947952182,45722974,1554483087,2002518289,0
55,111,11694,0,0,tick,2690448092,2006910459,2006834382,2690448092,374924702,2999373798,2010600176,0
56,113,11694,0,0,tick,2950214059,1994585501,1994582520,2950214059,431502526,2966139308,2011050415,0
57,115,11694,0,0,tick,2993580337,2010913081,2010899814,2993580337,433652452,2990171906,2011012589,0
58,117,11694,0,0,tick,2987526565,2010741648,2010652458,2987526565,430652587,3004463206,2011160997,0
59,119,11694,0,0,tick,2958487421,2010111199,2010107880,2958487421,433480410,2962256864,2010723854,0
60,121,11694,0,0,tick,2992990785,2010070935,2010061734,2992990785,433505282,2947586716,1994527842,0
61,123,11694,0,0,tick,2999016517,2010385325,2010398310,2999016517,433688133,2990881241,2010448441,0
62,125,11694,0,0,tick,2951426341,2010605452,2010630480,2951426341,432754730,2985297453,2011161727,0
63,127,11694,0,0,tick,3008053947,2010783150,2010798600,3008053947,435319184,2289730486,2008104598,0
64,129,11694,0,0,tick,772902182,1961431713,1961395920,772902182,32536397,1552702706,1993984048,0
