,nsample,pid,coretype,expid,event,pmc0,pmc1,pmc2,pmc3,pmc4,pmc5,pmc6,pmc7
0,1,2438,0,0,tick,786544763,1448450738,1449831300,786544763,92479795,729373978,1949839690,0
1,3,2438,0,0,tick,1211661651,1946445997,1946527944,1211661651,66893794,1152476006,1998326991,0
2,5,2438,0,0,tick,776475264,1944696903,1950025230,776475264,28721918,1367977651,1987714892,0
3,7,2438,0,0,tick,2907724971,2010355756,2010331950,2907724971,416836405,2922469307,1993151546,0
4,9,2438,0,0,tick,2869349141,2008772453,2008833624,2869349141,409862170,2947410792,2009957178,0
5,11,2438,0,0,tick,2831821702,1990622940,1992545286,2831821702,404564435,2963203982,2010421292,0
6,13,2438,0,0,tick,1561037961,1996609865,1996661736,1561037961,172631442,999157830,1951546043,0
7,15,2438,0,0,tick,1894805662,1994622969,1994544012,1894805662,200872182,2932616990,1995028518,0
8,17,2438,0,0,tick,2962174871,2010372809,2010399936,2962174871,429126772,2868116549,1994105547,0
9,19,2438,0,0,tick,2970167048,2010795444,2010818130,2970167048,430325736,2898938422,2010216361,0
10,21,2438,0,0,tick,2959427861,2010606956,2010639078,2959427861,428644862,2831869845,2010273516,0
11,23,2438,0,0,tick,726487265,1980800125,1980791952,726487265,21413251,1270664213,1970457346,0
12,25,2438,0,0,tick,2558891215,2006864722,2006809542,2558891215,353999046,2951188691,2011017478,0
13,27,2438,0,0,tick,2884851860,2010375704,2010407604,2884851860,416314086,2952506323,2011185530,0
14,29,2438,0,0,tick,2885684290,2010166459,2010231816,2885684290,416075440,2948747428,2011120983,0
15,31,2438,0,0,tick,1618826555,2004912533,2004896028,1618826555,185260867,953369018,1958465681,0
16,33,2438,0,0,tick,1421099234,1998688533,1998693018,1421099234,82396034,2783095831,1994805886,0
17,35,2438,0,0,tick,2949844986,2010636662,2010644760,2949844986,429359241,2933150732,2010460333,0
18,37,2438,0,0,tick,2967949485,2010950604,2010955818,2967949485,431260220,2966986171,2010850937,0
19,39,2438,0,0,tick,2919974706,2010433387,2010464172,2919974706,421349776,2959812300,2010957944,0
20,41,2438,0,0,tick,2944129204,1994691968,1994710428,2944129204,427842798,1186671774,2003153753,0
21,43,2438,0,0,tick,1071767481,1967233307,1967236434,1071767481,58002358,1548855223,2000939432,0
22,45,2438,0,0,tick,2991074499,2010866875,2010873258,2991074499,432841667,3000250471,2011115901,0
23,47,2438,0,0,tick,2980598592,2009602317,2009613150,2980598592,431101576,2931752054,2010009611,0
24,49,2438,0,0,tick,2981606331,2010326187,2010315780,2981606331,431177406,2992896793,2010953739,0
25,51,2438,0,0,tick,2957344750,1986743433,1994729538,2957344750,427562536,2933274380,2010766797,0
26,53,2438,0,0,tick,3001228091,2010718404,2010736728,3001228091,433874116,2999205114,2011159232,0
27,55,2438,0,0,tick,2994525734,2010755658,2010777798,2994525734,433042805,1482121759,2004768840,0
28,57,2438,0,0,tick,952772555,1967459303,1967533806,952772555,48459460,1442446448,2002283733,0
29,59,2438,0,0,tick,2282203886,1989271745,1989087258,2282203886,289821542,2980676479,2011172237,0
30,61,2438,0,0,tick,2996365818,2011047468,2011066794,2996365818,433617554,2960383559,2010865507,0
31,63,2438,0,0,tick,2913105012,2010661872,2010667662,2913105012,419554757,2954774674,2011100276,0
32,65,2438,0,0,tick,2974007631,2010759906,2010732354,2974007631,430736674,2977593781,2011055296,0
33,67,2438,0,0,tick,2964315075,2010752528,2010759078,2964315075,429762929,2949262431,2010650841,0
34,69,2438,0,0,tick,2991050441,2010913013,2010927006,2991050441,433228939,2991486546,2011135506,0
35,71,2438,0,0,tick,2975533612,2010755869,2010766974,2975533612,431278543,1766455568,1989933274,0
36,73,2438,0,0,tick,825367828,1973485333,1973502594,825367828,37531925,1412286561,1980246172,0
37,75,2438,0,0,tick,2078936659,1995962491,1995868440,2078936659,239640522,2969934943,2010746462,0
38,77,2438,0,0,tick,2967692409,2010738890,2010747606,2967692409,430254527,3013597271,2010792285,0
39,79,2438,0,0,tick,2989715490,2010815549,2010821946,2989715490,432718832,2988301351,2010845076,0
40,81,2438,0,0,tick,2998202180,2010848364,2010840426,2998202180,429445448,2965465495,1994949688,0
41,83,2438,0,0,tick,2980378055,2010397643,2010395478,2980378055,432032567,3014736193,2011059739,0
42,85,2438,0,0,tick,2989661896,2010780790,2010774612,2989661896,432572012,2987696876,2010868971,0
43,87,2438,0,0,tick,2993206972,2010878832,2010892332,2993206972,429790212,2980017102,2011075060,0
44,89,2438,0,0,tick,2992554358,2010532814,2010534810,2992554358,433665868,3015967721,2010982058,0
45,91,2438,0,0,tick,3005827389,2010915384,2010941910,3005827389,434728186,2982892116,2009205252,0
46,93,2438,0,0,tick,2981284605,2010864191,2010895128,2981284605,429084720,718947356,1983970987,0
