,index,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
0,0,1946324293.0,1945805088.0,1933852379.0,1953938570,1938214659,1943043738.0,1929118429,1949839690,1932983524,1947490968
1,1,1974085137.0,1938394720.0,1979266997.0,1998897409,1982277345,1998174577.0,1997605145,1998326991,1997399122,1951377858
2,2,1966398442.0,1969045143.0,1976851850.0,1982319905,1971270851,1976367830.0,1984535775,1987714892,1978551009,1985696070
3,3,1986510368.0,2010447567.0,2010972329.0,1995072880,2009087975,1991909265.0,2010630172,1993151546,1998015386,2010061562
4,4,2010613317.0,2010334606.0,1986781845.0,2011281187,2010036787,2011058713.0,2010968890,2009957178,2010942248,2010117013
5,5,2009798645.0,2010748182.0,2010707035.0,2011168825,2010519310,2011142052.0,2010917899,2010421292,2010835520,1988270054
6,6,1967331890.0,1967726419.0,1967920032.0,1967515466,1967306814,1950842777.0,1951765456,1951546043,1967135389,1967276823
7,7,2002861123.0,2010954668.0,2011051259.0,2010729557,2010953184,2010683619.0,2003040611,1995028518,2003158723,2010715392
8,8,2009934889.0,2005819805.0,2010063676.0,2009979117,2010178983,2009860060.0,2009870414,1994105547,2010338358,2010480299
9,9,1990278977.0,2010173436.0,2009827985.0,2000949561,2009371565,2010428977.0,2010255184,2010216361,1994251601,2010265032
10,10,1993259271.0,2007578751.0,2009618712.0,2010567325,2008911688,2009337285.0,2001366117,2010273516,2001196790,2009363433
11,11,1967605854.0,1970688032.0,1971069907.0,1971444154,1968494630,1971087294.0,1970428590,1970457346,1954994902,1971504338
12,12,1992719372.0,2006242114.0,1994085816.0,2011395256,2010844595,2010752626.0,2010962838,2011017478,2010613250,2010989284
13,13,1989018450.0,1987247053.0,2011054056.0,2010608507,2011119242,2011001277.0,2010831829,2011185530,2010750436,2010523633
14,14,2010653150.0,1992282635.0,1994752837.0,2011123895,2010890684,2010959031.0,2010970871,2011120983,1994608333,2011072304
15,15,1967162942.0,1967803366.0,1951511286.0,1951386599,1966945598,1967559592.0,1950735466,1958465681,1967223852,1959970985
