nsample pid coretype expid event pmc0 pmc1 pmc2 pmc3 pmc4
1 2378 0 0 tick 772455565 1431037877 1432373376 772455565 91076899
2 2378 0 1 tick 725883992 1929118429 - 0 -
3 2378 0 0 tick 1188614415 1925880200 1927928376 1188614415 62647337
4 2378 0 1 tick 1178845229 1997605145 - 0 -
5 2378 0 0 tick 788109225 1969204150 1969163694 788109225 27755847
6 2378 0 1 tick 1371892434 1984535775 - 0 -
7 2378 0 0 tick 2929505038 2009900473 2009879640 2929505038 420023931
8 2378 0 1 tick 2958851110 2010630172 - 0 -
9 2378 0 0 tick 2873665393 2010087891 2010153174 2873665393 410560587
10 2378 0 1 tick 2957195477 2010968890 - 0 -
11 2378 0 0 tick 2818531871 1981844889 1993787730 2818531871 402448185
12 2378 0 1 tick 2963473039 2010917899 - 0 -
13 2378 0 0 tick 1512400163 1996642124 1996670628 1512400163 163891696
14 2378 0 1 tick 1036993186 1951765456 - 0 -
15 2378 0 0 tick 1955619718 2003482700 2003541636 1955619718 212521358
16 2378 0 1 tick 2944177297 2003040611 - 0 -
17 2378 0 0 tick 2957103523 1994403997 1994422278 2957103523 428102184
18 2378 0 1 tick 2892764475 2009870414 - 0 -
19 2378 0 0 tick 2974163056 2010743895 2010757344 2974163056 431071067
20 2378 0 1 tick 2911829299 2010255184 - 0 -
21 2378 0 0 tick 2973578087 2010879131 2010873678 2973578087 430576923
22 2378 0 1 tick 2694961409 2001366117 - 0 -
23 2378 0 0 tick 741519977 1982151318 1982162412 741519977 21332717
24 2378 0 1 tick 1305094857 1970428590 - 0 -
25 2378 0 0 tick 2663118571 2007127869 2007081678 2663118571 378658296
26 2378 0 1 tick 2939997715 2010962838 - 0 -
27 2378 0 0 tick 2862456988 2010206499 2010246000 2862456988 413415700
28 2378 0 1 tick 2938248131 2010831829 - 0 -
29 2378 0 0 tick 2881962373 2010194372 2010226410 2881962373 415702539
30 2378 0 1 tick 2933857938 2010970871 - 0 -
31 2378 0 0 tick 1516825137 2004402574 2004431214 1516825137 167166507
32 2378 0 1 tick 987366167 1950735466 - 0 -
33 2378 0 0 tick 1408144262 1984016141 1983949542 1408144262 86663278
34 2378 0 1 tick 2876277416 1993820696 - 0 -
35 2378 0 0 tick 2947963198 2010582536 2010562626 2947963198 428966164
36 2378 0 1 tick 2930143132 2010523419 - 0 -
37 2378 0 0 tick 2951476211 2010241969 2010251628 2951476211 429215817
38 2378 0 1 tick 2959767399 2010718902 - 0 -
39 2378 0 0 tick 2921829905 2010230879 2010270456 2921829905 421620869
40 2378 0 1 tick 2958818430 2010736595 - 0 -
41 2378 0 0 tick 2954464378 2010260007 2010283158 2954464378 429070560
42 2378 0 1 tick 1085982874 2003130814 - 0 -
43 2378 0 0 tick 1108770243 1967582004 1967513388 1108770243 60033072
44 2378 0 1 tick 1603512255 1977843620 - 0 -
45 2378 0 0 tick 2979885717 2010831040 2010839700 2979885717 431481438
46 2378 0 1 tick 2985442180 2008748245 - 0 -
47 2378 0 0 tick 2977166880 2002282089 2002302198 2977166880 430591086
48 2378 0 1 tick 2915241825 2006058593 - 0 -
49 2378 0 0 tick 2984682455 2010632019 2010662892 2984682455 431536863
50 2378 0 1 tick 2977577487 2010935747 - 0 -
51 2378 0 0 tick 2985380252 2010740164 2010765816 2985380252 431579374
52 2378 0 1 tick 2919904904 2010454591 - 0 -
53 2378 0 0 tick 2982815296 2010756542 2010745170 2982815296 431245227
54 2378 0 1 tick 2979849532 2010958028 - 0 -
55 2378 0 0 tick 2983368795 2010621827 2010651300 2983368795 431440582
56 2378 0 1 tick 1460537737 2004687735 - 0 -
57 2378 0 0 tick 957241858 1953684169 1958929200 957241858 48739724
58 2378 0 1 tick 1449162000 2002309359 - 0 -
59 2378 0 0 tick 2328377770 2005550504 2005466046 2328377770 297979583
60 2378 0 1 tick 2959741456 2010511722 - 0 -
61 2378 0 0 tick 2949851018 1993617275 1993599324 2949851018 426933229
62 2378 0 1 tick 2971694145 2010318625 - 0 -
63 2378 0 0 tick 2937827060 2010007924 2010014346 2937827060 423099871
64 2378 0 1 tick 2943805463 2002778687 - 0 -
65 2378 0 0 tick 2970143334 2010862042 2010865302 2970143334 430184667
66 2378 0 1 tick 2985231319 2011175239 - 0 -
67 2378 0 0 tick 2974622771 2010851969 2010883854 2974622771 431100404
68 2378 0 1 tick 2938161163 2010643605 - 0 -
69 2378 0 0 tick 2980130010 2010795368 2010780516 2980130010 431646312
70 2378 0 1 tick 2986806422 2010971481 - 0 -
71 2378 0 0 tick 2973524137 2010755124 2010755094 2973524137 430988934
72 2378 0 1 tick 1760997979 1989830656 - 0 -
73 2378 0 0 tick 834811407 1969118210 1973387928 834811407 37952857
74 2378 0 1 tick 1424736276 1980194019 - 0 -
75 2378 0 0 tick 2129885290 2004198645 2004145944 2129885290 249585658
76 2378 0 1 tick 2990950021 2009916802 - 0 -
77 2378 0 0 tick 2978116417 2010947386 2010972852 2978116417 431758159
78 2378 0 1 tick 3001387478 2011110484 - 0 -
79 2378 0 0 tick 2995791174 2010605080 2010631566 2995791174 433570364
80 2378 0 1 tick 2992272139 2010967934 - 0 -
